bundle,模块,常量,文件名,形状,长度,列数,有CSV
sandcrush,SandUIConfig,RainbowScoreBestUI,SandUIConfig.RainbowScoreBestUI,字典,5,,
sandcrush,SandUIConfig,RainbowScoreGameOverUI,SandUIConfig.RainbowScoreGameOverUI,字典,5,,
sandcrush,SandUIConfig,SandBlockEditorUI,SandUIConfig.SandBlockEditorUI,字典,5,,
sandcrush,SandUIConfig,SandDiamondLevelUp,SandUIConfig.SandDiamondLevelUp,字典,5,,
sandcrush,SandUIConfig,SandHomeUI,SandUIConfig.SandHomeUI,字典,5,,
sandcrush,SandUIConfig,SandLevelResultColor,SandUIConfig.SandLevelResultColor,字典,5,,
sandcrush,SandUIConfig,SandLevelResultGem,SandUIConfig.SandLevelResultGem,字典,5,,
sandcrush,SandUIConfig,SandLevelResultScore,SandUIConfig.SandLevelResultScore,字典,5,,
sandcrush,SandUIConfig,SandLevelTargetColor,SandUIConfig.SandLevelTargetColor,字典,5,,
sandcrush,SandUIConfig,SandLevelTargetGem,SandUIConfig.SandLevelTargetGem,字典,5,,
sandcrush,SandUIConfig,SandLevelTargetScore,SandUIConfig.SandLevelTargetScore,字典,5,,
sandcrush,SandUIConfig,SandMenuView,SandUIConfig.SandMenuView,字典,5,,
sandcrush,SandUIConfig,SandScoreMultiplierUI,SandUIConfig.SandScoreMultiplierUI,字典,5,,
sandcrush,SandUIConfig,ScoreMilestonePop,SandUIConfig.ScoreMilestonePop,字典,5,,
sandcrush,SandUIConfig,SettingMoreUI,SandUIConfig.SettingMoreUI,字典,5,,
sandcrush,SandUIConfig,SettingUI,SandUIConfig.SettingUI,字典,5,,
sandcrush,SandUIConfig,StageGoalPopup,SandUIConfig.StageGoalPopup,字典,5,,
sandcrush,SandUIConfig,StarEnjoyView,SandUIConfig.StarEnjoyView,字典,5,,
sandcrush,SandUIConfig,StarLikeView,SandUIConfig.StarLikeView,字典,5,,
sandcrush,SandUIConfig,StarMoreTipsView,SandUIConfig.StarMoreTipsView,字典,5,,
sandcrush,SandUIConfig,StarView,SandUIConfig.StarView,字典,5,,
sandcrush,SandUIConfig,ToastUI,SandUIConfig.ToastUI,字典,5,,
sandcrush,SandUIConfig,dialogUI,SandUIConfig.dialogUI,字典,5,,
sandcrush,SandUIConfig,diamondReviveUI,SandUIConfig.diamondReviveUI,字典,5,,
sandcrush,SandUIConfig,diamondRewardUI,SandUIConfig.diamondRewardUI,字典,5,,
sandcrush,SandUIConfig,effectUI,SandUIConfig.effectUI,字典,5,,
sandcrush,SandUIConfig,gmUI,SandUIConfig.gmUI,字典,5,,
sandcrush,SandUIConfig,loadingUI,SandUIConfig.loadingUI,字典,5,,
sandcrush,SandUIConfig,mainUI,SandUIConfig.mainUI,字典,5,,
sandcrush,SandUIConfig,overBestUI,SandUIConfig.overBestUI,字典,5,,
sandcrush,SandUIConfig,overUI,SandUIConfig.overUI,字典,5,,
sandcrush,SandUIConfig,reviveRedeem,SandUIConfig.reviveRedeem,字典,5,,
sandcrush,SandUIConfig,reviveUI,SandUIConfig.reviveUI,字典,5,,
sandcrush,SandUIConfig,reviveUI1,SandUIConfig.reviveUI1,字典,5,,
sandcrush,SandUIConfig,waitAdCDUI,SandUIConfig.waitAdCDUI,字典,5,,
sandcrush,SandUIConfig,waitAdCoffeeUI,SandUIConfig.waitAdCoffeeUI,字典,5,,
sandcrush,SandUIConfig,waitAdDiamondUI,SandUIConfig.waitAdDiamondUI,字典,5,,
sandcrush,SandUIConfig,waitAdUI,SandUIConfig.waitAdUI,字典,5,,
sandcrush,ScoreFontLabel,_colors,ScoreFontLabel._colors,数组,9,,
sandcrush,ScoreMultiplierManager,MULTIPLIER_LEVELS,ScoreMultiplierManager.MULTIPLIER_LEVELS,对象数组,10,2,是
sandcrush,StageGoalDiamondPopup,multipleRewards,StageGoalDiamondPopup.multipleRewards,数组,4,,
sandcrush,StageGoalDiamondPopup,multipleRewards,StageGoalDiamondPopup.multipleRewards__2,数组,4,,
