boardId,boardData,producerBlocks,blocksColors,guideTargetCell,move,spineTargetPositions
122,"[[-1, 7, 7, -1, -1, -1, -1, -1], [-1, -1, 7, 7, -1, 3, -1, -1], [7, 7, -1, 7, 4, 2, 3, -1], [-1, 7, 7, 4, 2, 4, -1, -1], [-1, -1, -1, 2, 4, 7, 7, -1], [-1, -1, 2, -1, 7, -1, 7, 7], [-1, 2, -1, -1, 7, 7, -1, 7], [2, -1, -1, -1, -1, 7, -1, -1]]","[8, 42, 25]","[4, 6, 6]",,,
123,"[[-1, -1, -1, 7, 7, 7, -1, -1], [-1, -1, 7, 7, 7, -1, 7, -1], [-1, 7, 7, 7, -1, 7, 7, -1], [7, 2, 7, -1, 7, 7, 7, -1], [7, 7, 7, -1, 7, 7, 7, -1], [-1, 7, 7, 7, -1, 7, 7, -1], [-1, -1, 7, 7, 7, -1, 7, -1], [-1, -1, -1, 7, 7, 7, -1, -1]]","[19, 41, 39]","[4, 3, 3]",,,
124,"[[2, -1, 2, -1, -1, -1, -1, 4], [4, 2, 4, -1, -1, 4, 4, -1], [2, 2, 2, -1, 4, -1, -1, -1], [-1, 2, -1, -1, -1, 4, -1, -1], [-1, 2, -1, -1, -1, -1, 4, -1], [2, 2, 2, 2, 2, 2, 2, -1], [2, 2, 2, 2, 2, 2, 2, -1], [4, -1, -1, -1, -1, -1, 4, -1]]","[17, 4, 10]","[3, 4, 2]",,,
125,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 2, 2, 4, 4, -1, -1], [-1, -1, 2, -1, -1, 4, -1, -1], [-1, -1, 2, -1, -1, 4, -1, -1], [-1, -1, -1, 2, 4, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[39, 41, 35]","[2, 4, 6]",,,
126,"[[-1, -1, -1, -1, -1, 2, 7, -1], [-1, -1, -1, -1, -1, 2, 2, 4], [-1, -1, -1, -1, -1, 2, -1, -1], [-1, -1, -1, 2, 2, 2, 2, -1], [-1, -1, 2, 2, 2, 2, 2, -1], [-1, 2, 3, 3, 3, 2, -1, -1], [-1, 2, 2, 2, 2, -1, -1, -1], [-1, -1, -1, 4, -1, -1, -1, -1]]","[6, 32, 36]","[4, 7, 6]",,,
127,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 3, 3, 3, -1], [-1, -1, -1, 3, 3, 3, -1, 5], [-1, -1, -1, 3, 3, 3, -1, -1], [-1, -1, 3, 3, 3, 3, 3, -1], [-1, -1, 2, 2, 2, 2, 2, -1], [-1, 3, 3, 3, 3, 3, 3, 3], [-1, -1, -1, -1, -1, -1, -1, -1]]","[8, 32, 9]","[7, 7, 4]",,,
128,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 6, -1, -1, -1], [-1, -1, -1, 6, -1, -1, -1, -1], [-1, 4, 4, 4, 4, 4, -1, -1], [4, 4, 2, 4, 2, 4, 4, -1], [4, 4, 4, 4, 4, 4, 4, -1], [4, 4, 2, 2, 2, 4, 4, -1], [-1, 4, 4, 4, 4, 4, -1, -1]]","[34, 29, 25]","[3, 6, 7]",,,
129,"[[-1, -1, -1, -1, -1, 7, 7, -1], [-1, -1, -1, -1, 7, 7, 7, 7], [-1, -1, -1, -1, 7, 2, 7, 7], [-1, -1, -1, -1, 7, 7, 7, 7], [-1, -1, -1, -1, 7, -1, 7, 7], [-1, 7, -1, -1, 7, -1, -1, 7], [-1, 7, -1, -1, 7, -1, -1, -1], [-1, -1, 7, 7, -1, -1, -1, -1]]","[2, 9, 20]","[2, 4, 5]",,,
130,"[[-1, 3, -1, -1, 3, -1, -1, -1], [-1, 3, 3, 3, 3, -1, -1, -1], [-1, 3, 3, 3, 3, -1, -1, 3], [-1, -1, 2, 2, -1, -1, -1, 3], [-1, -1, 3, 3, 3, -1, -1, 3], [-1, -1, 3, 3, 3, 3, -1, 3], [-1, -1, 3, 3, 3, 3, 3, -1], [-1, 3, 3, 3, 3, 3, -1, -1]]","[3, 28, 25]","[2, 4, 7]",,,
131,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 4, 4, -1, -1], [-1, -1, -1, -1, 4, 2, 7, -1], [-1, 7, -1, -1, 4, 7, 7, -1], [-1, -1, 7, 1, 7, 7, -1, -1], [-1, -1, 7, 7, 7, 7, -1, -1], [-1, -1, 7, -1, -1, 7, -1, -1], [-1, -1, 3, -1, -1, 3, -1, -1]]","[9, 36, 30]","[2, 4, 7]",,,
132,"[[-1, 5, -1, -1, -1, -1, -1, -1], [5, 5, 5, -1, -1, -1, -1, -1], [5, -1, 5, -1, -1, -1, -1, 2], [-1, 5, 5, 5, 5, 5, 5, 2], [-1, 5, 5, 5, 5, 5, 5, 2], [5, -1, -1, -1, -1, 5, 5, 2], [-1, 5, -1, -1, -1, 5, 5, -1], [-1, -1, -1, -1, 5, -1, 5, -1]]","[2, 9, 2]","[6, 4, 5]",,,
133,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 4, 4, -1, 4, 4, -1, -1], [-1, 4, 4, 2, 4, 4, -1, -1], [-1, 2, 7, 2, 7, 2, -1, 4], [-1, -1, 2, 3, 2, -1, -1, 4], [-1, -1, 2, 2, 2, -1, 2, 4], [-1, -1, 2, 2, 2, 2, 2, 2], [-1, -1, 2, -1, 2, 2, -1, 2]]","[42, 26, 19]","[5, 4, 6]",,,
134,"[[-1, -1, -1, -1, -1, 3, 2, -1], [-1, -1, -1, -1, -1, 3, 3, 2], [-1, -1, -1, 3, 3, 3, 3, -1], [-1, -1, 3, 3, 3, 3, 3, -1], [-1, 3, 3, 3, 3, 3, -1, -1], [3, 3, 3, 3, 3, -1, -1, -1], [3, -1, -1, -1, 2, -1, -1, -1], [-1, -1, -1, 2, 2, 2, -1, -1]]","[20, 29, 9]","[4, 6, 6]",,,
135,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 2, 2, 2, -1, -1, -1], [-1, -1, 2, 5, 2, -1, -1, -1], [-1, -1, 2, 2, 2, -1, -1, -1], [-1, 4, -1, 6, -1, -1, -1, -1], [-1, -1, 4, 6, -1, 4, -1, -1], [-1, -1, -1, 6, 4, -1, -1, -1], [-1, -1, -1, 6, -1, -1, -1, -1]]","[5, 19, 10]","[4, 3, 3]",,,
136,"[[-1, 4, 4, -1, -1, -1, -1, -1], [2, 4, 4, 4, -1, -1, -1, -1], [-1, -1, 4, -1, -1, -1, -1, 4], [-1, 4, 4, 4, -1, -1, 4, 4], [-1, 4, 4, 4, 4, 4, 4, 4], [-1, -1, 4, 4, 4, 4, 4, -1], [-1, -1, -1, -1, 4, 4, -1, -1], [-1, -1, -1, 2, 2, -1, -1, -1]]","[31, 14, 25]","[3, 6, 6]",,,
137,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 4, -1, -1, -1, -1], [-1, -1, 5, 5, 5, -1, -1, -1], [-1, 5, 5, 5, 5, 5, -1, -1], [-1, -1, 4, 4, 4, -1, -1, -1], [5, 5, 5, 5, 5, 5, 5, -1], [-1, 4, 4, 4, 4, 4, -1, -1], [-1, 4, 4, -1, 4, 4, -1, -1]]","[27, 30, 9]","[6, 1, 6]",,,
138,"[[-1, -1, 2, 2, 2, 2, -1, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, 2, 7, 2, 2, 7, 2, -1], [-1, 2, 7, 2, 2, 7, 2, -1], [-1, 2, 4, 4, 4, 4, 2, -1], [-1, 2, 2, 4, 4, 2, 2, -1], [-1, -1, 2, 2, 2, 2, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[31, 29, 42]","[3, 1, 6]",,,
139,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, -1, -1, 2, -1, 2, -1], [4, 2, -1, 2, 2, -1, 2, 2], [-1, 2, -1, 2, 2, 2, 2, 2], [-1, 2, 2, 2, 2, 2, 2, 2], [-1, -1, 2, 2, 2, 2, 2, 2], [-1, -1, -1, 2, -1, -1, 2, -1], [-1, -1, -1, 3, -1, -1, 3, -1]]","[2, 9, 31]","[2, 4, 1]",,,
140,"[[-1, -1, -1, -1, -1, -1, -1, -1], [2, 2, 2, 2, 2, 2, -1, -1], [2, -1, -1, -1, -1, 2, 3, -1], [2, -1, -1, -1, -1, 2, 3, 3], [2, -1, -1, -1, -1, 2, 3, 3], [-1, 1, 1, 2, 2, 1, 1, 3], [-1, 1, 1, -1, -1, 1, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[42, 28, 25]","[2, 4, 6]",,,
141,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, 1, 1, -1], [-1, -1, -1, -1, 1, 1, -1, 1], [-1, -1, -1, -1, 1, 1, 5, -1], [-1, -1, -1, 1, 1, 1, 5, -1], [-1, -1, 1, 1, 5, 5, -1, -1], [-1, 5, 5, 5, 4, -1, -1, -1], [5, -1, -1, -1, 4, 4, -1, -1]]","[5, 25, 34]","[2, 4, 7]",,,
142,"[[-1, 5, 5, 5, 5, 5, -1, -1], [5, 7, 7, 5, 7, 7, 5, -1], [5, 7, 7, 5, 7, 7, 5, -1], [5, 5, 5, 5, 5, 5, 5, -1], [5, -1, 5, 5, 5, -1, 5, -1], [5, 2, 5, 5, 5, 2, 5, -1], [5, 5, 5, 5, 5, 5, 5, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[8, 32, 29]","[2, 4, 6]",,,
143,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 2, 2, 2, -1, -1, -1], [-1, 2, -1, -1, -1, 2, -1, -1], [2, -1, -1, 2, -1, 2, -1, -1], [-1, 2, -1, -1, -1, -1, 2, 2], [-1, 2, -1, -1, -1, -1, -1, 2], [-1, -1, 2, -1, -1, -1, 2, -1], [-1, -1, -1, 2, 2, 2, -1, -1]]","[10, 28, 20]","[5, 4, 7]",,,
144,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 3, -1, -1, -1, -1], [-1, -1, 3, 4, 3, -1, -1, -1], [-1, 2, -1, 3, -1, -1, 7, -1], [2, 4, 2, 6, -1, 7, 4, 7], [-1, 2, -1, 6, -1, -1, 7, -1], [-1, 6, -1, 6, -1, -1, 6, -1], [-1, 6, -1, 6, -1, -1, 6, -1]]","[4, 19, 4]","[7, 1, 6]",,,
145,"[[-1, -1, 2, 2, 3, 2, -1, -1], [-1, 2, 6, 2, 2, 2, 2, -1], [2, 2, 2, -1, -1, 2, 2, 2], [6, 2, -1, -1, -1, -1, 2, 2], [2, 2, -1, -1, -1, -1, 2, 5], [4, 2, 2, -1, -1, 5, 2, 4], [-1, 4, 1, 2, 2, 2, 4, -1], [-1, -1, 4, 4, 4, 4, -1, -1]]","[27, 28, 9]","[2, 4, 7]",,,
146,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 4, 4, 4, 4, -1, -1], [-1, 4, 2, 4, 4, 2, 4, -1], [2, 4, -1, 2, 2, -1, 4, 2], [2, 4, -1, 2, 2, -1, 4, 2], [-1, 4, 2, 5, 5, 2, 4, -1], [-1, 4, 2, 2, 2, 2, 4, -1], [-1, -1, 2, 2, 2, 2, -1, -1]]","[34, 29, 30]","[2, 4, 7]",,,
147,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 2, -1, -1, -1, -1], [-1, 2, -1, -1, -1, 2, -1, -1], [-1, -1, 4, 4, 4, -1, -1, -1], [2, -1, 4, 4, 4, -1, 2, -1], [-1, -1, 4, 4, 4, -1, -1, -1], [-1, 2, -1, -1, -1, 2, -1, -1], [-1, -1, -1, 2, -1, -1, -1, -1]]","[23, 30, 10]","[2, 4, 7]",,,
148,"[[-1, 7, -1, -1, -1, -1, 3, -1], [7, -1, 7, -1, -1, 3, -1, 3], [-1, 7, 2, 2, 2, 2, 3, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, 4, 2, 2, 2, 2, 1, -1], [4, -1, 4, -1, -1, 1, -1, 1], [-1, 4, -1, -1, -1, -1, 1, -1]]","[9, 39, 41]","[2, 4, 6]",,,
149,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 6, -1, -1, -1], [-1, -1, 6, 6, 6, 6, 6, -1], [-1, 5, 6, 5, 6, 5, 6, 5], [-1, 5, 5, 5, 5, 5, 5, 5], [-1, 5, 5, 5, 5, 5, 5, 5], [-1, -1, 5, 5, 5, 5, 5, -1]]","[20, 25, 42]","[2, 4, 7]",,,
150,"[[-1, -1, 5, -1, -1, 5, -1, -1], [-1, -1, -1, 5, 5, -1, -1, -1], [-1, -1, 2, 2, 2, 2, -1, -1], [-1, 2, -1, -1, -1, -1, 2, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, 2, 7, 2, 2, 7, 2, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, -1, 5, -1, -1, 5, -1, -1]]","[29, 42, 25]","[2, 4, 6]",,,
151,"[[-1, -1, -1, -1, -1, 7, 7, 7], [-1, -1, -1, -1, -1, -1, 7, 7], [-1, -1, -1, 4, -1, -1, -1, 7], [4, 4, 2, 2, 2, -1, 2, 2], [4, -1, 2, 2, 2, 2, 2, -1], [-1, 4, 2, 2, 2, -1, -1, -1], [-1, -1, -1, 4, -1, -1, -1, -1], [-1, -1, 4, 4, 4, -1, -1, -1]]","[38, 25, 20]","[2, 4, 1]",,,
152,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 5, 5, -1, -1, -1, -1], [-1, 2, -1, 5, 5, -1, -1, -1], [-1, -1, -1, 5, 5, 5, -1, -1], [-1, -1, 5, 5, 5, 5, 5, -1], [-1, 4, 4, 4, 4, 4, 4, 4], [-1, -1, -1, -1, -1, -1, -1, -1]]","[8, 19, 25]","[2, 4, 7]",,,
153,"[[-1, -1, 5, -1, -1, -1, -1, -1], [-1, 5, 5, 5, -1, -1, -1, -1], [2, 5, 4, -1, -1, -1, 4, -1], [-1, 4, 4, 4, -1, 4, 4, 4], [-1, 4, 4, 4, 4, 4, -1, 4], [-1, -1, 4, 4, 4, 4, -1, -1], [-1, -1, -1, 4, 4, -1, -1, -1], [-1, -1, 2, 2, -1, -1, -1, -1]]","[42, 26, 20]","[2, 4, 7]",,,
154,"[[-1, -1, -1, 4, -1, -1, -1, -1], [-1, -1, 4, 4, 4, -1, -1, -1], [-1, -1, 2, 2, 2, -1, -1, -1], [2, -1, 2, 2, 2, -1, 2, -1], [2, 4, 4, 4, 4, 4, 2, -1], [2, 4, 4, 4, 4, 4, 2, -1], [2, 4, 4, -1, 4, 4, 2, -1], [2, 4, 4, -1, 4, 4, 2, -1]]","[20, 4, 25]","[2, 4, 7]",,,
155,"[[-1, -1, -1, 1, -1, -1, -1, -1], [-1, -1, -1, 1, -1, -1, -1, -1], [-1, 2, -1, 4, -1, -1, -1, -1], [-1, -1, 2, 4, -1, 2, -1, -1], [-1, 2, 2, 4, 2, -1, -1, -1], [-1, 2, 2, -1, 2, 2, -1, -1], [-1, 2, 2, 2, 2, 2, -1, -1], [-1, -1, 2, 2, 2, -1, -1, -1]]","[20, 42, 10]","[5, 7, 6]",,,
156,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, 1, 1, -1, -1], [-1, -1, -1, 1, 1, 1, 1, -1], [-1, 2, 2, 2, 1, 2, 1, -1], [2, 2, 2, 2, 1, 1, 1, -1], [2, 4, 4, 4, 1, 1, 1, -1], [4, -1, -1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1]]","[20, 14, 30]","[2, 4, 7]",,,
157,"[[-1, -1, -1, 3, 3, -1, -1, -1], [-1, -1, 3, 3, -1, -1, -1, -1], [-1, 3, 3, -1, 3, -1, -1, -1], [3, 3, -1, -1, -1, 3, -1, -1], [2, 4, 2, 4, 2, 4, 2, -1], [3, 3, 3, 3, 3, 3, 3, -1], [-1, 3, -1, -1, -1, 3, -1, -1], [-1, 3, -1, -1, -1, 3, -1, -1]]","[19, 32, 10]","[2, 4, 7]",,,
158,"[[-1, -1, -1, -1, -1, -1, -1, -1], [5, -1, 5, -1, 5, -1, 5, -1], [5, 5, 5, 5, 5, 5, 5, -1], [4, 4, 4, 4, 4, 4, 4, -1], [2, 2, 2, 2, 2, 2, 2, -1], [4, 4, -1, -1, -1, 4, 4, -1], [2, 2, -1, -1, -1, 2, 2, -1], [4, 4, -1, -1, -1, 4, 4, -1]]","[26, 4, 26]","[6, 4, 7]",,,
159,"[[-1, -1, -1, 5, -1, -1, -1, -1], [-1, -1, -1, 5, -1, -1, -1, -1], [-1, -1, -1, 5, -1, -1, -1, -1], [-1, -1, -1, 5, -1, -1, -1, -1], [-1, -1, -1, 5, -1, -1, -1, -1], [-1, -1, 5, 7, 5, -1, -1, -1], [-1, 5, 7, -1, 7, 5, -1, -1], [5, 7, -1, -1, -1, 7, 5, -1]]","[20, 25, 10]","[2, 4, 6]",,,
160,"[[-1, 2, 7, 7, 7, 2, -1, -1], [2, 7, 7, 7, 7, 7, 2, -1], [2, 7, 7, 7, 7, 7, 2, -1], [2, 7, 7, 7, 7, 7, 2, -1], [-1, 2, 7, 7, 7, 2, -1, -1], [-1, -1, 2, -1, 2, -1, -1, -1], [-1, -1, -1, 2, -1, -1, -1, -1], [-1, -1, -1, 2, -1, -1, -1, -1]]","[20, 32, 25]","[3, 4, 6]",,,
161,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 4, 4, 4, 1, 7, -1], [-1, -1, 4, 4, 4, 1, 7, 7], [-1, -1, 4, 4, 4, 1, 7, 7], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 3, 3, 1, 3, 3, 1], [-1, -1, 3, 3, -1, 3, 3, -1]]","[9, 31, 42]","[2, 4, 6]",,,
162,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, -1, -1, 5, 5, -1], [-1, 2, 2, 2, 5, 5, 5, -1], [-1, 2, -1, 2, 5, -1, 5, -1], [-1, 2, 2, 2, 5, 5, 5, -1], [-1, 2, -1, -1, -1, -1, 5, -1], [-1, -1, 2, -1, -1, 5, -1, -1], [-1, -1, -1, 2, 5, -1, -1, -1]]","[9, 15, 6]","[6, 4, 6]",,,
163,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 2, 2, 2, -1, -1, -1], [-1, 2, 5, 5, 5, 2, -1, -1], [-1, 2, 5, 5, 5, 2, -1, -1], [-1, 2, 5, 5, 5, 2, -1, -1], [-1, -1, 2, 2, 2, -1, -1, -1], [-1, 6, -1, 4, -1, 6, -1, -1], [-1, -1, 6, 4, 6, -1, -1, -1]]","[34, 38, 37]","[2, 4, 6]",,,
164,"[[-1, -1, -1, 7, 7, 7, -1, -1], [-1, -1, 7, -1, -1, -1, 7, -1], [-1, 7, -1, -1, -1, 7, -1, -1], [7, -1, -1, -1, 7, -1, -1, -1], [2, 2, 2, 2, 2, -1, -1, -1], [2, 2, 3, 2, 2, -1, -1, -1], [4, 4, 3, 4, 4, -1, -1, -1], [4, 4, 4, 4, 4, -1, -1, -1]]","[41, 41, 41]","[7, 3, 6]",,,
