key,中文名,英文名,稀有度,售价,卖价,效果类型,生效方式,通用规则,通用规则说明,触发时机,成长型,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,蓝图可复制,永恒可,易腐可,默认解锁,解锁条件类型,解锁条件,order,代码出处,图片,描述模板_中文
j_ticket,黄金门票,Golden Ticket,1-普通,5,2,dollars for Gold cards,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的黃金牌 在计分时获得$4,Played Gold cards earn $4 when scored,extra=4,#1#=4,self.ability.extra,是,是,是,,hand_contents,打出一手五张 只包含 黃金牌的牌,106,card.lua:3153 ; functions/common_events.lua:1566 ; functions/common_events.lua:2513 ; functions/common_events.lua:2587,图片资源/Joker/j_ticket.png,打出的{C:attention}黃金牌{} 在计分时获得{C:money}$#1#{}
j_mr_bones,骷髅先生,Mr. Bones,2-罕见,5,2,Prevent Death,calculate_joker 按名字,,,回合结算 > 游戏结束,,如果最终得到的 筹码至少是 所需筹码的25% 则不会死亡 自毁,Prevents Death if chips scored are at least 25% of required chips self destructs,,,,,,是,,c_losses,输掉#1#局游戏 (#2#),107,card.lua:3050,图片资源/Joker/j_mr_bones.png,"如果最终得到的 筹码至少是 所需筹码的{C:attention}25% 则不会死亡 {S:1.1,C:red,E:2}自毁{}"
j_acrobat,杂技演员,Acrobat,2-罕见,6,3,Shop size,calculate_joker 按名字,,,小丑区 > 计分主阶段,,每回合的最后一次 出牌时， X3 倍率, X3  Mult on final hand of round,extra=3,#1#=3,self.ability.extra,是,是,是,,c_hands_played,打出#1#次牌 (#2#),108,card.lua:3691,图片资源/Joker/j_acrobat.png,"每回合的最后一次 {C:attention}出牌{}时，{X:red,C:white} X#1# {}倍率"
j_sock_and_buskin,喜与悲,Sock and Buskin,2-罕见,6,3,Face card double,calculate_joker 按名字,,,重复触发 > 计分区,,重新触发所有 打出的人头牌,Retrigger all played face cards,extra=1,#1#=2,self.ability.extra+1,是,是,是,,c_face_cards_played,打出总共 #1#张人头牌 (#2#),109,card.lua:3347,图片资源/Joker/j_sock_and_buskin.png,重新触发所有 打出的{C:attention}人头牌{}
j_swashbuckler,侠盗,Swashbuckler,1-普通,4,2,Set Mult,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,将拥有的所有其他 小丑牌的总售价 添加至倍率 （当前为+1倍率）,Adds the sell value of all other owned Jokers to Mult (Currently +1 Mult),mult=1,#1#=1,self.ability.mult,是,是,是,,c_jokers_sold,总共卖出 #1#张小丑牌 (#2#)张,110,card.lua:3977 ; card.lua:4243,图片资源/Joker/j_swashbuckler.png,将拥有的所有其他 {C:attention}小丑牌{}的总售价 添加至倍率 {C:inactive}（当前为{C:mult}+#1#{C:inactive}倍率）
j_troubadour,游吟诗人,Troubadour,2-罕见,6,3,"Hand Size, Plays",外部引用,,,,,+2手牌上限 每回合出牌次数-1,"+2 hand size, -1 hand each round",extra.h_plays=-1; extra.h_size=2,#1#=2 | #2#=1,"self.ability.extra.h_size, -self.ability.extra.h_plays",,是,是,,round_win,连续赢得#1#回合 且每回合只使用 一次出牌次数,111,card.lua:623 ; card.lua:680 ; functions/common_events.lua:1531,图片资源/Joker/j_troubadour.png,{C:attention}+#1#{}手牌上限 每回合出牌次数{C:blue}-#2#{}
j_certificate,证书,Certificate,2-罕见,6,3,,calculate_joker 按名字,,,首次抽牌,是,回合开始时 随机添加一张 带随机蜡封的牌 到手牌中,"When round begins, add a random playing card with a random seal to your hand",,#1#=<运行时:extra>,self.ability.extra,是,是,是,,double_gold,拥有一张 带金色蜡封的 黄金牌,112,card.lua:2466 ; functions/common_events.lua:2519,图片资源/Joker/j_certificate.png,回合开始时 随机添加一张 带随机{C:attention}蜡封{}的{C:attention}牌 到手牌中
j_smeared,模糊小丑,Smeared Joker,2-罕见,7,3,,外部引用,,,,,红桃和方片 视作同一花色， 黑桃和梅花 也视作同一花色,"Hearts and Diamonds count as the same suit, Spades and Clubs count as the same suit",,,,,是,是,,modify_deck,在你的牌组中 至少拥有#1# #2#,113,card.lua:4075 ; card.lua:4087,图片资源/Joker/j_smeared.png,{C:hearts}红桃{}和{C:diamonds}方片 视作同一花色， {C:spades}黑桃{}和{C:clubs}梅花 也视作同一花色
j_throwback,回溯,Throwback,2-罕见,6,3,,calculate_joker 按名字,,,跳过盲注,是,本赛局内每跳过一次 盲注，获得X0.25倍率 （当前为 X1 倍率）, X0.25  Mult for each Blind skipped this run (Currently  X1  Mult),extra=0.25,#1#=0.25 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,是,,continue_game,从主菜单中选择继续 游玩已保存的局,114,card.lua:2432 ; card.lua:4179 ; functions/common_events.lua:2521,图片资源/Joker/j_throwback.png,"本赛局内每跳过一次 {C:attention}盲注{}，获得{X:mult,C:white}X#1#{}倍率 {C:inactive}（当前为{X:mult,C:white} X#2# {C:inactive}倍率）"
j_hanging_chad,未断选票,Hanging Chad,1-普通,4,2,,calculate_joker 按名字,,,重复触发 > 计分区,,打出的牌中 第一张计分牌 额外触发2次,Retrigger first played card used in scoring 2 additional times,extra=2,#1#=2,self.ability.extra,是,是,是,,round_win,用#1# 打赢Boss盲注,115,card.lua:3355 ; functions/common_events.lua:1537,图片资源/Joker/j_hanging_chad.png,打出的牌中 {C:attention}第一张{}计分牌 额外触发{C:attention}#1#{}次
j_rough_gem,璞玉,Rough Gem,2-罕见,7,3,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的 方块花色牌 在计分时给予$1,Played cards with Diamond suit earn $1 when scored,extra=1,#1#=1,self.ability.extra,是,是,是,,modify_deck,在你的牌组中 拥有至少#1#张 带有#2#花色的卡牌,116,card.lua:3227,图片资源/Joker/j_rough_gem.png,打出的 {C:diamonds}方块{}花色牌 在计分时给予{C:money}$#1#{}
j_bloodstone,血石,Bloodstone,2-罕见,7,3,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的 红桃花色牌 在计分时有1/2几率 给予X1.5倍率,1 in 2 chance for played cards with Heart suit to give  X1.5  Mult when scored,extra.Xmult=1.5; extra.odds=2,#1#=1 | #2#=2 | #3#=1.5,"''..(G.GAME and G.GAME.probabilities.normal or 1), self.ability.extra.odds, self.ability.extra.Xmult",是,是,是,,modify_deck,在你的牌组中 拥有至少#1#张 带有#2#花色的卡牌,117,card.lua:3250,图片资源/Joker/j_bloodstone.png,"打出的 {C:hearts}红桃{}花色牌 在计分时有{c:green}#1#/#2#{}几率 给予{X:mult,C:white}X#3#{}倍率"
j_arrowhead,箭头,Arrowhead,2-罕见,7,3,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的 黑桃花色牌 在计分时给予+50筹码,Played cards with Spade suit give +50 Chips when scored,extra=50,#1#=50,self.ability.extra,是,是,是,,modify_deck,在你的牌组中 拥有至少#1#张 带有#2#花色的卡牌,118,card.lua:3243,图片资源/Joker/j_arrowhead.png,打出的 {C:spades}黑桃{}花色牌 在计分时给予{C:chips}+#1#{}筹码
j_onyx_agate,缟玛瑙,Onyx Agate,2-罕见,7,3,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的 梅花花色牌 在计分时给予+7倍率,Played cards with Club suit give +7 Mult when scored,extra=7,#1#=7,self.ability.extra,是,是,是,,modify_deck,在你的牌组中 拥有至少#1#张 带有#2#花色的卡牌,119,card.lua:3236,图片资源/Joker/j_onyx_agate.png,打出的 {C:clubs}梅花{}花色牌 在计分时给予{C:mult}+#1#{}倍率
j_glass,玻璃小丑,Glass Joker,2-罕见,6,3,Glass Card,calculate_joker 按名字,,,卡牌被摧毁 | 移除卡牌 | 使用消耗品,是,每摧毁一张 玻璃牌 这张小丑获得X0.75倍率 （当前为 X1倍率）,This Joker gains  X0.75  Mult for every Glass Card that is destroyed (Currently  X1  Mult),Xmult=1; extra=0.75,#1#=0.75 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,,,modify_deck,在你的牌组中 拥有#1#张 #2#,120,card.lua:2650 ; card.lua:2690 ; card.lua:2712 ; functions/common_events.lua:2586,图片资源/Joker/j_glass.png,"每摧毁一张 {C:attention}玻璃牌 这张小丑获得{X:mult,C:white}X#1#{}倍率 {C:inactive}（当前为{X:mult,C:white} X#2#{C:inactive}倍率）"
j_ring_master,马戏团长,Showman,2-罕见,5,2,,外部引用,,,,,小丑牌、塔罗牌、星球牌 和幻灵牌可以同时 出现复数张,"Joker, Tarot, Planet, and Spectral cards may appear multiple times",,,,,是,是,,ante_up,达到底注 等级#1#,121,functions/common_events.lua:2026 ; functions/common_events.lua:2132 ; functions/common_events.lua:2138,图片资源/Joker/j_ring_master.png,{C:attention}小丑牌{}、{C:tarot}塔罗牌{}、{C:planet}星球牌{} 和{C:planet}幻灵牌{}可以同时 出现复数张
j_flower_pot,花盆,Flower Pot,2-罕见,6,3,,calculate_joker 按名字,,,小丑区 > 计分主阶段,,如果打出的牌型中，包含 方片、梅花、 红桃、黑桃牌各一张， 则 X3 倍率," X3  Mult if poker hand contains a Diamond card, Club card, Heart card, and Spade card",extra=3,#1#=3,self.ability.extra,是,是,是,,ante_up,达到底注 等级#1#,122,card.lua:3810,图片资源/Joker/j_flower_pot.png,"如果打出的牌型中，包含 {C:diamonds}方片{}、{C:clubs}梅花{}、 {C:hearts}红桃{}、{C:spades}黑桃{}牌各一张， 则{X:mult,C:white} X#1# {}倍率"
j_blueprint,蓝图,Blueprint,3-稀有,10,5,Copycat,外部引用,,,,,复制 右侧小丑牌的能力,Copies ability of Joker to the right,,,,是,是,是,,win_custom,赢一局,123,card.lua:2307 ; card.lua:4228 ; card.lua:4232 ; functions/common_events.lua:1616,图片资源/Joker/j_blueprint.png,复制 右侧{C:attention}小丑牌{}的能力
j_wee,小小丑,Wee Joker,3-稀有,8,4,,calculate_joker 按名字,,,逐张计分 > 计分区 | 小丑区 > 计分主阶段,是,每有一张打出的2计分时 这张小丑牌获得 +8筹码 （当前为+0筹码）,This Joker gains +8 Chips when each played 2 is scored (Currently +0 Chips),extra.chip_mod=8; extra.chips=0,#1#=0 | #2#=8,"self.ability.extra.chips, self.ability.extra.chip_mod",是,是,,,win,在#1#回合 或更少回合内赢得一局,124,card.lua:253 ; card.lua:3086 ; card.lua:3876 ; card.lua:4760,图片资源/Joker/j_wee.png,每有一张打出的{C:attention}2{}计分时 这张小丑牌获得 {C:chips}+#2#{}筹码 {C:inactive}（当前为{C:chips}+#1#{C:inactive}筹码）
j_merry_andy,快乐安迪,Merry Andy,2-罕见,7,3,,外部引用,,,,,每回合 弃牌次数+3 手牌上限-1,"+3 discards each round, -1 hand size",d_size=3; h_size=-1,#1#=3 | #2#=-1,"self.ability.d_size, self.ability.h_size",,是,是,,win,在#1#回合 或更少回合内赢得一局,125,,图片资源/Joker/j_merry_andy.png,每回合 弃牌次数{C:red}+#1#{} 手牌上限{C:red}#2#{}
j_oops,六六大顺,Oops! All 6s,2-罕见,4,2,,外部引用,,,,,将所有以数字标注出的 几率翻倍 （例如：1/3几率 -> 2/3几率）,Doubles all listed probabilities (ex: 1 in 3 -> 2 in 3),,,,,是,是,,chip_score,在一次出牌中 获得至少 #1#筹码,126,card.lua:608 ; card.lua:665,图片资源/Joker/j_oops.png,"将所有以{C:attention}数字标注{}出的 {C:green,E:1,S:1.1}几率{}翻倍 {C:inactive}（例如：{C:green}1/3{C:inactive}几率 -> {C:green}2/3{C:inactive}几率）"
j_idol,偶像,The Idol,2-罕见,6,3,,calculate_joker 按名字,,,逐张计分 > 计分区,,每张打出的G.GAME.current_round.idol_card.suitG.GAME.current_round.idol_card.rank 在计分时 给予 X2 倍率 每回合卡牌都会变动,Each played G.GAME.current_round.idol_card.rank of G.GAME.current_round.idol_card.suit gives  X2  Mult when scored Card changes every round,extra=2,#1#=2 | #2#=G.GAME.current_round.idol_card.rank | #3#=G.GAME.current_round.idol_card.suit | #4#=colours = {G.C.SUITS[G.GAME.current_round.idol_card.suit]},"self.ability.extra, localize(G.GAME.current_round.idol_card.rank, 'ranks'), localize(G.GAME.current_round.idol_card.suit, 'suits_plural'), colours = {G.C.SUITS[G.GAME.current_round.idol_card.suit]}",是,是,是,,chip_score,在一次出牌中 获得至少 #1#筹码,127,card.lua:3130,图片资源/Joker/j_idol.png,"每张打出的{V:1}#3#{}{C:attention}#2# 在计分时 给予{X:mult,C:white} X#1# {}倍率 {s:0.8}每回合卡牌都会变动"
j_seeing_double,重影,Seeing Double,2-罕见,6,3,X1.5 Mult club 7,calculate_joker 按名字,,,小丑区 > 计分主阶段,,如果打出的牌中，包含 一张计分的梅花牌和 一张计分的任何其他花色牌 则 X2 倍率, X2  Mult if played hand has a scoring Club card and a scoring card of any other suit,extra=2,#1#=2,self.ability.extra,是,是,是,,hand_contents,打出一手 包含 #1#的牌,128,card.lua:3656 ; card.lua:3843 ; functions/common_events.lua:1553,图片资源/Joker/j_seeing_double.png,"如果打出的牌中，包含 一张计分的{C:clubs}梅花{}牌和 一张计分的任何其他{C:attention}花色{}牌 则{X:mult,C:white} X#1# {}倍率"
j_matador,斗牛士,Matador,2-罕见,7,3,,calculate_joker 按名字,,,小丑区 > 计分主阶段,,如果出牌触发了 Boss盲注的限制条件 获得$8,Earn $8 if played hand triggers the Boss Blind ability,extra=8,#1#=8,self.ability.extra,是,是,是,,round_win,不使用弃牌且 只用一次出牌 打赢Boss盲注,129,card.lua:2739 ; card.lua:3722 ; functions/common_events.lua:1523 ; functions/common_events.lua:2536,图片资源/Joker/j_matador.png,如果出牌触发了 {C:attention}Boss盲注{}的限制条件 获得{C:money}$#1#{}
j_hit_the_road,上路吧杰克,Hit the Road,3-稀有,8,4,Jack Discard Effect,calculate_joker 按名字,,,弃牌时 | 回合结算,是,本回合中，每弃掉一张 J牌 这张小丑牌获得X0.5 倍率 （当前为 X1倍率）,This Joker gains  X0.5  Mult for every Jack discarded this round (Currently  X1  Mult),extra=0.5,#1#=0.5 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,是,,discard_custom,一次弃掉 5张J,130,card.lua:2838 ; card.lua:3014 ; functions/common_events.lua:1580 ; functions/common_events.lua:2537,图片资源/Joker/j_hit_the_road.png,"本回合中，每弃掉一张 {C:attention}J{}牌 这张小丑牌获得{X:mult,C:white}X#1# {}倍率 {C:inactive}（当前为{X:mult,C:white} X#2#{C:inactive}倍率）"
j_duo,二重奏,The Duo,3-稀有,8,4,X1.5 Mult,通用规则,牌型X倍率,"打出的牌含 config.type 牌型时,给 config.Xmult 乘区",小丑区 > 计分主阶段,,如果打出的牌中 包含Pair X2倍率, X2  Mult if played hand contains a Pair,Xmult=2; type=Pair,#1#=2 | #2#=Pair,"self.ability.x_mult, localize(self.ability.type, 'poker_hands')",是,是,是,,win_no_hand,赢一局 且不打出 #1#,131,,图片资源/Joker/j_duo.png,"如果打出的牌中 包含{C:attention}#2# {X:mult,C:white}X#1#{}倍率"
j_trio,三重奏,The Trio,3-稀有,8,4,X2 Mult,通用规则,牌型X倍率,"打出的牌含 config.type 牌型时,给 config.Xmult 乘区",小丑区 > 计分主阶段,,如果打出的牌中 包含Three of a Kind X3倍率, X3  Mult if played hand contains a Three of a Kind,Xmult=3; type=Three of a Kind,#1#=3 | #2#=Three of a Kind,"self.ability.x_mult, localize(self.ability.type, 'poker_hands')",是,是,是,,win_no_hand,赢一局 且不打出 #1#,132,,图片资源/Joker/j_trio.png,"如果打出的牌中 包含{C:attention}#2# {X:mult,C:white}X#1#{}倍率"
j_family,一家人,The Family,3-稀有,8,4,X3 Mult,通用规则,牌型X倍率,"打出的牌含 config.type 牌型时,给 config.Xmult 乘区",小丑区 > 计分主阶段,,如果打出的牌中 包含Four of a Kind X4倍率, X4  Mult if played hand contains a Four of a Kind,Xmult=4; type=Four of a Kind,#1#=4 | #2#=Four of a Kind,"self.ability.x_mult, localize(self.ability.type, 'poker_hands')",是,是,是,,win_no_hand,赢一局 且不打出 #1#,133,,图片资源/Joker/j_family.png,"如果打出的牌中 包含{C:attention}#2# {X:mult,C:white}X#1#{}倍率"
j_order,秩序,The Order,3-稀有,8,4,X3 Mult,通用规则,牌型X倍率,"打出的牌含 config.type 牌型时,给 config.Xmult 乘区",小丑区 > 计分主阶段,,如果打出的牌中 包含Straight X3倍率, X3  Mult if played hand contains a Straight,Xmult=3; type=Straight,#1#=3 | #2#=Straight,"self.ability.x_mult, localize(self.ability.type, 'poker_hands')",是,是,是,,win_no_hand,赢一局 且不打出 #1#,134,,图片资源/Joker/j_order.png,"如果打出的牌中 包含{C:attention}#2# {X:mult,C:white}X#1#{}倍率"
j_tribe,部落,The Tribe,3-稀有,8,4,X3 Mult,通用规则,牌型X倍率,"打出的牌含 config.type 牌型时,给 config.Xmult 乘区",小丑区 > 计分主阶段,,如果打出的牌中 包含Flush X2倍率, X2  Mult if played hand contains a Flush,Xmult=2; type=Flush,#1#=2 | #2#=Flush,"self.ability.x_mult, localize(self.ability.type, 'poker_hands')",是,是,是,,win_no_hand,赢一局 且不打出 #1#,135,,图片资源/Joker/j_tribe.png,"如果打出的牌中 包含{C:attention}#2# {X:mult,C:white}X#1#{}倍率"
j_stuntman,特技演员,Stuntman,3-稀有,7,3,,calculate_joker 按名字,,,小丑区 > 计分主阶段,,+250筹码 手牌上限-2,"+250 Chips, -2 hand size",extra.chip_mod=250; extra.h_size=2,#1#=250 | #2#=2,"self.ability.extra.chip_mod, self.ability.extra.h_size",是,是,是,,chip_score,在一次出牌中 获得至少 #1#筹码,136,card.lua:627 ; card.lua:684 ; card.lua:3716,图片资源/Joker/j_stuntman.png,{C:chips}+#1#{}筹码 手牌上限{C:attention}-#2#{}
j_invisible,隐形小丑,Invisible Joker,3-稀有,8,4,,calculate_joker 按名字,,,卖出自身 | 回合结算,是,经过2个回合后 售出此卡牌可以 随机复制一张小丑牌 (当前为<运行时:invis_rounds>/2),"After 2 rounds, sell this card to Duplicate a random Joker (Currently <运行时:invis_rounds>/2)",extra=2,#1#=2 | #2#=<运行时:invis_rounds>,"self.ability.extra, self.ability.invis_rounds",,,是,,win_custom,赢一局 且从未拥有超过 4张小丑牌,137,card.lua:308 ; card.lua:2374 ; card.lua:2937 ; card.lua:4447,图片资源/Joker/j_invisible.png,经过{C:attention}#1#{}个回合后 售出此卡牌可以 随机{C:attention}复制{}一张小丑牌 {C:inactive}(当前为{C:attention}#2#{C:inactive}/#1#)
j_brainstorm,头脑风暴,Brainstorm,3-稀有,10,5,Copycat,外部引用,,,,,复制最左边的 小丑牌的能力,Copies the ability of leftmost Joker,,,,是,是,是,,discard_custom,弃掉一手 皇家同花顺,138,card.lua:2324 ; card.lua:4228 ; card.lua:4230 ; functions/common_events.lua:1592,图片资源/Joker/j_brainstorm.png,复制最左边的 {C:attention}小丑牌的能力
j_satellite,卫星,Satellite,2-罕见,6,3,,外部引用,,,,是,本赛局每使用过一种 星球牌，每回合结束时 可得到$1 （当前$planets_used*1）,Earn $1 at end of round per unique Planet card used this run (Currently $planets_used*1),extra=1,#1#=1 | #2#=planets_used*1,"self.ability.extra, planets_used*self.ability.extra",,是,是,,money,有$#1# 或更多,139,card.lua:1669,图片资源/Joker/j_satellite.png,本赛局每使用过一种 {C:planet}星球牌{}，每回合结束时 可得到{C:money}$#1#{} {C:inactive}（当前{C:money}$#2#{C:inactive}）
j_shoot_the_moon,射月,Shoot the Moon,1-普通,5,2,,calculate_joker 按名字,,,逐张计分 > 手牌区,,留在手牌中的 每一张Q 给予+13倍率,Each Queen held in hand gives +13 Mult,extra=13,#1#=13,self.ability.extra,是,是,是,,play_all_hearts,在单个回合中 打出牌组里的 所有红桃,140,card.lua:3275 ; functions/common_events.lua:2547,图片资源/Joker/j_shoot_the_moon.png,留在手牌中的 每一张{C:attention}Q 给予{C:mult}+#1#{}倍率
j_drivers_license,驾驶执照,Driver's License,3-稀有,7,3,,外部引用,,,,是,如果牌组中至少有 16张增强卡牌， 则 X#1# 倍率 （当前#2#）, X#1#  Mult if you have at least 16 Enhanced cards in your full deck (Currently #2#),extra=3,,,是,是,是,,modify_deck,增强牌组里 #1#张卡牌,141,card.lua:3946 ; card.lua:4182,图片资源/Joker/j_drivers_license.png,"如果牌组中至少有 {C:attention}16张增强卡牌， 则{X:mult,C:white} X#1# {}倍率 {C:inactive}（当前{C:attention}#2#{C:inactive}）"
j_cartomancer,卡牌术士,Cartomancer,2-罕见,6,3,Tarot Buff,calculate_joker 按名字,,,盲注选定,,在选择盲注时 生成一张塔罗牌 （必须有空位）,Create a Tarot card when Blind is selected (Must have room),,,,是,是,是,,discover_amount,发现每张 塔罗牌,142,card.lua:2548,图片资源/Joker/j_cartomancer.png,在选择{C:attention}盲注{}时 生成一张{C:tarot}塔罗牌{} {C:inactive}（必须有空位）
j_astronomer,天文学家,Astronomer,2-罕见,8,4,,外部引用,,,,是,所有星球牌 和天体补充包 在商店内都免费,All Planet cards and Celestial Packs in the shop are free,,#1#=<运行时:extra>,self.ability.extra,,是,是,,discover_amount,发现所有 星球牌,143,card.lua:380 ; card.lua:616 ; card.lua:673 ; functions/common_events.lua:2550,图片资源/Joker/j_astronomer.png,所有{C:planet}星球牌{} 和{C:planet}天体补充包{} 在商店内都{C:attention}免费
j_burnt,烧焦小丑,Burnt Joker,3-稀有,8,4,,calculate_joker 按名字,,,弃牌前 > 钩子,,升级每回合 第一次被弃掉的 牌型的等级,Upgrade the level of the first discarded poker hand each round,extra=4; h_size=0,,,是,是,是,,c_cards_sold,售出所有 +#1#张卡牌 (#2#),144,card.lua:2752,图片资源/Joker/j_burnt.png,升级每回合 第一次{C:attention}被弃掉的 牌型的等级
j_bootstraps,提靴带,Bootstraps,2-罕见,7,3,,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,每拥有$5 +2倍率 （当前为+2*math.floor((G.GAME.dollars + (G.GAME.dollar_buffer or 0))/5)倍率）,+2 Mult for every $5 you have (Currently +2*math.floor((G.GAME.dollars + (G.GAME.dollar_buffer or 0))/5) Mult),extra.dollars=5; extra.mult=2,#1#=2 | #2#=5 | #3#=2*math.floor((G.GAME.dollars + (G.GAME.dollar_buffer or 0))/5),"self.ability.extra.mult, self.ability.extra.dollars, self.ability.extra.mult*math.floor((G.GAME.dollars + (G.GAME.dollar_buffer or 0))/self.ability.extra.dollars)",是,是,是,,modify_jokers,在你的牌组中拥有至少 #1#张多彩小丑,145,card.lua:4049,图片资源/Joker/j_bootstraps.png,每拥有{C:money}$#2#{} {C:mult}+#1#{}倍率 {C:inactive}（当前为{C:mult}+#3#{C:inactive}倍率）
j_caino,卡尼奥,Caino,4-传奇,20,10,,calculate_joker 按名字,,,卡牌被摧毁 | 移除卡牌 | 小丑区 > 计分主阶段,是,每当一张人头牌 被摧毁时 这张小丑牌获得X1倍率 （当前为 X<运行时:caino_xmult>倍率）,This Joker gains  X1  Mult when a face card is destroyed (Currently  X<运行时:caino_xmult>  Mult),extra=1,#1#=1 | #2#=<运行时:caino_xmult>,"self.ability.extra, self.ability.caino_xmult",是,是,是,,,?????,146,card.lua:324 ; card.lua:2626 ; card.lua:2676 ; card.lua:4055,图片资源/Joker/j_caino.png,"每当一张{C:attention}人头牌{} 被摧毁时 这张小丑牌获得{X:mult,C:white}X#1#{}倍率 {C:inactive}（当前为{X:mult,C:white} X#2#{C:inactive}倍率）"
j_triboulet,特里布莱,Triboulet,4-传奇,20,10,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的K和Q 在计分时 给予X2倍率,Played Kings and Queens each give  X2  Mult when scored,extra=2,#1#=2,self.ability.extra,是,是,是,,,?????,147,card.lua:3265,图片资源/Joker/j_triboulet.png,"打出的{C:attention}K{}和{C:attention}Q 在计分时 给予{X:mult,C:white}X#1#{}倍率"
j_yorick,约里克,Yorick,4-传奇,20,10,,calculate_joker 按名字,,,弃牌时,是,每弃掉23[<运行时:yorick_discards>]张牌 这张小丑牌获得 X1 倍率 （当前为 X1 倍率）,This Joker gains  X1  Mult every 23 [<运行时:yorick_discards>] cards discarded (Currently  X1  Mult),extra.discards=23; extra.xmult=1,#1#=1 | #2#=23 | #3#=<运行时:yorick_discards> | #4#=1,"self.ability.extra.xmult, self.ability.extra.discards, self.ability.yorick_discards, self.ability.x_mult",是,是,是,,,?????,148,card.lua:327 ; card.lua:2791,图片资源/Joker/j_yorick.png,"每弃掉{C:attention}#2#{C:inactive}[#3#]{}张牌 这张小丑牌获得{X:mult,C:white} X#1# {}倍率 {C:inactive}（当前为{X:mult,C:white} X#4# {C:inactive}倍率）"
j_chicot,希科,Chicot,4-传奇,20,10,,calculate_joker 按名字,,,盲注选定,,所有Boss盲注 限制条件消失,Disables effect of every Boss Blind,,,,,是,是,,,?????,149,card.lua:596 ; card.lua:2495,图片资源/Joker/j_chicot.png,所有{C:attention}Boss盲注 限制条件消失
j_perkeo,帕奇欧,Perkeo,4-传奇,20,10,,calculate_joker 按名字,,,离开商店,是,在离开商店时 随机复制1张 拥有的消耗牌 并给那张牌负片效果,Creates a Negative copy of 1 random consumable card in your possession at the end of the shop,,#1#=<运行时:extra>,self.ability.extra,是,是,是,,,?????,150,card.lua:2416 ; functions/common_events.lua:2602,图片资源/Joker/j_perkeo.png,在离开商店时 随机复制{C:attention}1{}张 拥有的{C:attention}消耗牌{} 并给那张牌{C:dark_edition}负片{}效果
